 9.999999999999997e-06  1.492596073361248e-75  9.604663197605521e-45  3.888460740917418e-142  6.920273169112947e-113  9.679112075349205e-143  6.228246099800038e-112  4.561193988246579e-136  4.033254740119300e-121
 1.599858719606059e-05  3.375793413897729e-75  9.605213133005292e-45  9.752836734950777e-142  6.920668159516903e-113  2.189093445629068e-142  6.228601611618606e-112  2.987775878205196e-135  2.642560174480641e-120
 2.559547922699535e-05  7.511800801702367e-75  9.605730682575516e-45  2.443511017881955e-141  6.921068520542723e-113  4.871042228709344e-142  6.228961915743873e-112  1.957648401336739e-134  1.731184261106709e-119
 4.094915062380421e-05  2.668886682671683e-74  9.606304697944715e-45  6.587842490556103e-141  6.921441884425468e-113  1.730675728114903e-141  6.229298004079039e-112  1.282564620490468e-133  1.134346331433524e-118
 6.551285568595508e-05  7.507933664248655e-74  9.606862577203402e-45  1.715247608503795e-140  6.921851285005013e-113  4.868419810046507e-141  6.229666436556115e-112  8.402550717891526e-133  7.431198428137940e-118
 1.048113134154687e-04  1.982838045656900e-73  9.607414996272953e-45  4.414094986024146e-140  6.922247649944838e-113  1.285807260793886e-140  6.230023134651652e-112  5.503642936110028e-132  4.868387073426516e-117
 1.676832936811008e-04  4.356255217200308e-73  9.607968306002290e-45  1.100287807840633e-139  6.922617068703584e-113  2.824844610845903e-140  6.230355757453288e-112  3.606378422608761e-131  3.189599936079070e-116
 2.682695795279723e-04  1.100004960038384e-72  9.608478527141215e-45  2.809296848318606e-139  6.923003414046987e-113  7.133102129208341e-140  6.230703320049486e-112  2.362147066584361e-130  2.089840265122667e-115
 4.291934260128778e-04  3.265292379206634e-72  9.609021583796864e-45  7.377154839396382e-139  6.923403334063594e-113  2.117435044960486e-139  6.231063257971684e-112  1.547271733399666e-129  1.369197834696370e-114
 6.866488450043001e-04  6.608463653910082e-72  9.609552497400309e-45  1.814669825970235e-138  6.923780988530573e-113  4.285340951686079e-139  6.231403661041577e-112  1.014189661326888e-128  8.969428016984475e-114
 1.098541141987558e-03  1.769904456374578e-71  9.610079186555855e-45  4.678464268199474e-138  6.924178250258769e-113  1.147711734722950e-138  6.231760701070467e-112  6.641688922321792e-128  5.876899728768974e-113
 1.757510624854792e-03  4.895032628626184e-71  9.610641313962881e-45  1.212203536481723e-137  6.924578042684769e-113  3.174228870168265e-138  6.232120554052221e-112  4.350180863305212e-127  3.850119693372090e-112
 2.811768697974231e-03  1.257965079347365e-70  9.611164876278467e-45  3.106910039115726e-137  6.924957731639021e-113  8.157341095343502e-138  6.232462255278591e-112  2.850179101659793e-126  2.522668817562727e-111
 4.498432668969446e-03  3.863700270216224e-70  9.611713999574265e-45  8.213594343202975e-137  6.925349305635169e-113  2.505284105815818e-137  6.232814609035018e-112  1.867150555635664e-125  1.652649035431080e-110
 7.196856730011521e-03  8.860435490368784e-70  9.612254888572669e-45  2.061568880373066e-136  6.925747334915191e-113  5.745743629221877e-137  6.233172177548014e-112  1.223674960188894e-124  1.082772506560605e-109
 1.151395399326448e-02  2.041103757142733e-69  9.612804164263380e-45  5.176865179412403e-136  6.926127711097296e-113  1.323584795132217e-136  6.233515254113664e-112  8.015588357268789e-124  7.092854727289423e-109
 1.842069969326716e-02  4.395264075669559e-69  9.613371021700964e-45  1.289646178671057e-135  6.926528748197137e-113  2.850163044023675e-136  6.233875529181091e-112  5.251560977841378e-123  4.648196537114346e-108
 2.947051702551811e-02  1.475705260092293e-68  9.613892687063550e-45  3.448153537069788e-135  6.926921814690924e-113  9.569381312607418e-136  6.234230131626288e-112  3.440306196108689e-122  3.044503647772079e-107
 4.714866363457395e-02  3.226604117192022e-68  9.614453812231914e-45  8.601943239725051e-135  6.927306683827737e-113  2.092323399181628e-135  6.234575822185426e-112  2.253910306276241e-121  1.994773121070622e-106
 7.543120063354626e-02  8.449020241955521e-68  9.614959788230880e-45  2.209967330731068e-134  6.927690061617317e-113  5.478881667613692e-135  6.234921344365440e-112  1.476496563935457e-120  1.307197549152129e-105
 1.206792640639329e-01  2.154558491424207e-67  9.615540461912955e-45  5.653029819031236e-134  6.928095958892888e-113  1.397128015114456e-134  6.235286670545610e-112  9.669949268456648e-120  8.562690827632197e-105
 1.930697728883249e-01  6.307906121908335e-67  9.616068257332765e-45  1.480794807189307e-133  6.928477467629212e-113  4.090422280096993e-134  6.235630093663584e-112  6.336892555487414e-119  5.611079050039158e-104
 3.088843596477482e-01  1.625921942560351e-66  9.616591991434672e-45  3.791959620966555e-133  6.928867059579362e-113  1.054276087978987e-133  6.235980290613594e-112  4.151042087831811e-118  3.675620564369822e-103
