,richness
605,2.0727723560678206
606,2.4069712009834063
607,2.3532091532270183
608,1.9001634071640154
609,2.4759407032736527
610,1.8829655899449245
611,2.386312146926268
612,3.7632370979076084
613,2.1310722560729616
614,2.5607007908950075
615,2.6207107049842673
616,1.93017130642106
617,2.1868766443557375
618,1.9039537572315415
619,1.410561537311814
620,2.8247973599397973
621,2.4770141872216636
622,2.358549724979374
623,1.764525058403024
624,2.3811353851443444
625,2.87434679204183
626,2.3283208376486613
627,1.9097216361540656
628,1.9571043013949105
629,3.1414299229726517
630,3.223356773041905
631,2.0049051623657554
632,1.8295382972241958
633,1.6136027100269015
634,1.9541511048989413
635,2.8014001329939098
636,2.7593694346127915
637,2.7069603753775016
638,2.5897797716697952
639,2.359499000665208
640,1.548823006407527
641,2.5670691064834537
642,3.205796413966622
643,1.6480403859515105
644,2.889228148233664
645,3.1278160226291076
646,2.1074385071484096
647,1.5048507742350155
648,2.376564892662832
649,3.707292051848651
650,1.8638788531431312
651,2.674122719650396
652,2.5550742397212183
653,2.100411337509273
654,1.9911463225539399
655,2.9840322454111314
656,3.4847693934830173
657,2.6045687335216456
658,2.327931920306361
659,1.4902020062899177
660,1.4181620267422723
661,2.081691175897181
662,3.404623101266565
663,2.744122541792876
664,2.544831796696635
665,2.3423995784535863
666,2.74678673093473
667,2.087919499208345
668,2.536600368919532
669,1.7287758880554571
670,2.846161086254631
671,2.0511173439722166
672,2.690427804825462
673,2.7965451024546693
674,2.3004148924450285
675,1.790250419594459
676,2.7122567004251543
677,2.2114186433046314
678,1.7383548427062343
679,2.638660976934096
680,2.361792001421418
681,1.9568220698700978
682,1.9875566968693965
683,1.6738916052943054
684,2.1073013205701083
685,2.4017276534619985
686,2.2798993573521513
687,2.146521939885994
688,2.826318944674422
689,1.8280758772653718
690,0.8514521341057866
691,3.09294312776772
692,2.3118169384351477
693,2.7581721057208393
694,2.082729873710798
695,2.670688369507381
696,2.6965260841745433
697,2.5071648390798096
698,1.615125187782115
699,2.5751375352233694
700,2.054258907508292
701,2.490388605344069
702,2.1864691710504323
703,2.2024964763707664
704,1.7045814420553855
705,2.566975358882156
706,3.122861022301127
707,2.582975569949967
708,3.276580713049152
709,1.7402484581852833
710,2.4421887143345846
711,1.4418658916403115
712,1.6193324036994587
713,2.9247208433474077
714,3.0740986011048577
715,2.283132212041729
716,1.5564184029587405
717,2.0543276659291174
718,1.8711212560522752
719,2.968408615448908
720,2.5728653987725227
721,3.155291593823678
722,2.5810276822412215
723,2.0995287667970897
724,2.215950601147197
725,1.5498829798667209
726,2.5150358986638355
727,2.3324227437480576
728,1.908153615216504
